Id,Latitude,Longitude,Region by Zipcode,Zipcode
78584,30.26278,-97.73529,East,78702
78731,30.26984,-97.72874,East,78702
78749,30.27066,-97.7414,Central,78701
78757,30.24716,-97.782,South Central,78704
78831,30.31262,-97.72543,Central,78751
78884,30.26088,-97.77438,South Central,78704
78974,30.23916,-97.76487,South Central,78704
78993,30.32787,-97.75442,West,78731
79100,30.30971,-97.6948,East,78723
79432,30.2809,-97.76065,Central,78703
79603,30.24936,-97.75904,South Central,78704
79768,30.26071,-97.73258,East,78702
80025,30.29808,-97.71339,East,78722
82033,30.30419,-97.68914,East,78723
83643,30.32373,-97.71629,Central,78752
84771,30.29269,-97.74345,Central,78705
89475,30.35669,-97.72658,Central,78757
90898,30.24666,-97.7476,South Central,78704
104099,30.25456,-97.77551,South Central,78704
104386,30.24613,-97.74528,South East,
109005,30.28399,-97.77094,Central,78703
113779,30.30326,-97.73057,Central,78751
113791,30.3022,-97.73013,Central,78751
116014,30.27509,-97.74851,Central,78701
128326,30.24395,-98.00244,West,78704
140474,30.30226,-97.73143,Central,78751
140504,30.30242,-97.72954,Central,78751
140561,30.16127,-97.7843,South East,78744
141550,30.25582,-97.72709,East,78702
145210,30.30219,-97.74143,Central,78705
154103,30.2515,-97.78206,South Central,78704
155359,30.41813,-97.88915,West,78732
166561,30.24154,-97.76121,South Central,78704
167459,30.27728,-97.79113,West,78746
174828,30.33107,-97.7142,Central,78752
179885,30.23908,-97.77182,South Central,78704
191719,30.25784,-97.76114,South Central,78704
195674,30.25836,-97.76723,South Central,78704
202187,30.24776,-97.74527,South Central,78704
202753,30.27571,-97.75819,Central,78703
207054,30.24594,-97.7313,South East,78741
208897,30.2635,-97.70097,East,78702
214795,30.25341,-97.77369,South Central,78704
217637,30.28913,-97.71844,East,78722
218402,30.3635,-97.64556,North,78754
219168,30.24503,-97.74531,South Central,78704
221451,30.25321,-97.77306,South Central,78704
223838,30.23924,-97.78828,South Central,78704
224603,30.30788,-97.72679,Central,78751
227372,30.24846,-97.75077,South Central,78704
228217,30.45831,-97.68722,North Suburbs,78728
230976,30.1703,-97.96974,South,78737
233930,30.30271,-97.73123,Central,78751
234194,30.17278,-97.973,South,78737
237705,30.25409,-97.72566,East,78702
238657,30.25368,-97.7567,South Central,78704
240541,30.25426,-97.72431,East,78702
244785,30.27917,-97.71564,East,78702
247770,30.3034,-97.68496,East,78723
248515,30.25434,-97.72825,East,78702
254232,30.27928,-97.75642,Central,78703
269200,30.38342,-97.66611,North,78753
271052,30.25309,-97.77375,South Central,78704
277028,30.28281,-97.76417,Central,78703
281182,30.28091,-97.70809,East,78702
282342,30.36663,-97.70872,North,78758
286029,30.25864,-97.75981,South Central,78704
294708,30.23223,-97.74579,South East,78741
295275,30.18844,-97.78975,South,78745
299282,30.30944,-97.73181,Central,78751
300574,30.25721,-97.75563,South Central,78704
304866,30.20948,-97.76969,South,78745
305392,30.25518,-97.73289,East,78702
313400,30.25304,-97.76885,South Central,78704
313973,30.25191,-97.78116,South Central,78704
314152,30.35672,-97.79621,West,78730
315239,30.2135,-97.7809,South,78745
316630,30.25431,-97.75578,South Central,78704
317148,30.26764,-97.70976,East,78702
318963,30.2509,-97.74119,South Central,78704
319759,30.2648,-97.73428,East,78702
319887,30.25536,-97.72855,East,78702
319894,30.28413,-97.64927,Far East,78724
320161,30.16204,-97.73744,South East,78747
320435,30.35229,-97.69454,North,78753
